5556,Alpine Linux,Bug,"",Resolved,Urgent,APKINDEX.tar.gz runs into BADSIG for main and community repo,Mohinish Shaikh,"",05/11/2016 09:08 AM,Package request,"",05/10/2016,"","","",0,05/10/2016 09:32 PM,"","",3.3.0
5548,Alpine Linux,Bug,"",New,Normal,mempcpy undeclared on installation (alpine:edge docker),Martin WhoWantsToKnow,Natanael Copa,05/11/2016 12:40 PM,Base libraries,3.3.4,05/09/2016,"","","",0,05/09/2016 08:28 AM,"","",3.3.4
5547,Alpine Infrastructure,Bug,"",Closed,Immediate,Insufficient system storage on mail server!,Jakub Jirutka,Nathan Angelacos,05/09/2016 02:59 PM,Mail,"",05/08/2016,"","","",0,05/08/2016 11:39 AM,05/09/2016 02:59 PM,"",""
5546,Alpine Infrastructure,Bug,"",Resolved,Urgent,TLS certificates on alpinelinux.org and bugs.alpinelinux.org have expired!,Jakub Jirutka,Nathan Angelacos,05/10/2016 05:03 PM,Web site,"",05/07/2016,"","","",0,05/07/2016 10:35 PM,05/09/2016 08:21 AM,Duplicates #5545,""
5545,Alpine Linux,Bug,"",Closed,Urgent,TLS certificates on alpinelinux.org and bugs.alpinelinux.org have expired!,Jakub Jirutka,"",05/09/2016 08:21 AM,"","",05/07/2016,"","","",0,05/07/2016 04:40 PM,05/09/2016 08:21 AM,Duplicated by #5546,
5544,Alpine Linux,Bug,"",New,Normal,Add USB Gadget support to the RPi Linux kernel,Scrumpy Jack,Timo Teräs,05/05/2016 03:14 PM,Kernel,"",05/05/2016,"","","",0,05/05/2016 03:14 PM,"","",
5543,Alpine Linux,Bug,"",Resolved,Normal,timezone in docker alpine,Karl Klepper,"",05/09/2016 10:29 AM,"","",05/04/2016,"","","",100,05/04/2016 02:55 PM,"","",3.3.3
5542,Alpine Linux,Bug,"",New,Normal,Error installing php-intl - so:libicudata.so.56 is missing,Tiago Seabra,"",05/03/2016 03:53 PM,"","",05/03/2016,"","","",0,05/03/2016 03:20 PM,"","",
5525,Alpine Linux,Bug,"",New,Normal,failed to install v8 http://nl.alpinelinux.org/alpine/edge/testing,Xiangmin Wang,William Pitcock,04/30/2016 01:20 PM,Package request,3.3.4,04/30/2016,"","","",0,04/30/2016 01:20 PM,"","",
5524,Alpine Linux,Bug,"",New,Normal,Firefox 46 segfaults when double-clicking on tab strip,Anonymous,"",04/30/2016 01:35 AM,"","",04/30/2016,"","","",0,04/30/2016 01:35 AM,"","",
5511,Alpine Linux,Bug,5507,Closed,Normal,"[3.0] squid: Multiple issues (CVE-2016-3947, CVE-2016-3948, CVE-2016-4051, CVE-2016-4052, CVE-2016-4053, CVE-2016-4054)",Alicha CH,Natanael Copa,05/10/2016 10:21 AM,Security,3.0.7,04/28/2016,"","","",100,04/28/2016 12:45 PM,05/10/2016 10:21 AM,"",
5510,Alpine Linux,Bug,5507,Closed,Normal,"[3.1] squid: Multiple issues (CVE-2016-3947, CVE-2016-3948, CVE-2016-4051, CVE-2016-4052, CVE-2016-4053, CVE-2016-4054)",Alicha CH,Natanael Copa,05/10/2016 10:21 AM,Security,3.1.5,04/28/2016,"","","",100,04/28/2016 12:45 PM,05/10/2016 10:21 AM,"",
5509,Alpine Linux,Bug,5507,Closed,Normal,"[3.2] squid: Multiple issues (CVE-2016-3947, CVE-2016-3948, CVE-2016-4051, CVE-2016-4052, CVE-2016-4053, CVE-2016-4054)",Alicha CH,Natanael Copa,05/10/2016 10:21 AM,Security,3.2.4,04/28/2016,"","","",100,04/28/2016 12:43 PM,05/10/2016 10:21 AM,"",
5508,Alpine Linux,Bug,5507,Closed,Normal,"[3.3] squid: Multiple issues (CVE-2016-3947, CVE-2016-3948, CVE-2016-4051, CVE-2016-4052, CVE-2016-4053, CVE-2016-4054)",Alicha CH,Natanael Copa,05/10/2016 10:21 AM,Security,3.3.4,04/28/2016,"","","",100,04/28/2016 12:42 PM,05/10/2016 10:21 AM,"",
5507,Alpine Linux,Bug,"",Closed,Normal,"squid: Multiple issues (CVE-2016-3947, CVE-2016-3948, CVE-2016-4051, CVE-2016-4052, CVE-2016-4053, CVE-2016-4054)",Alicha CH,Natanael Copa,05/10/2016 10:21 AM,Security,"",04/28/2016,"","",0.00,100,04/28/2016 12:41 PM,05/10/2016 10:21 AM,"",
5506,Alpine Linux,Bug,"",New,Normal,MariaDB - pidfile location - defect init script,Steffen Lange,"",04/28/2016 11:52 AM,"","",04/28/2016,"","","",0,04/28/2016 11:52 AM,"","",
5505,Alpine Linux,Bug,"",New,Normal,Apache - 'apachectl status' depends on lynx,Steffen Lange,"",04/28/2016 11:25 AM,"","",04/28/2016,"","","",0,04/28/2016 11:25 AM,"","",
5504,Alpine Linux,Bug,"",New,Normal,rsyslog segfaults when configured with TCP listener when a log entry arrives from remote source,Ashley Sommer,"",04/29/2016 02:24 AM,"","",04/28/2016,"","","",0,04/28/2016 02:12 AM,"","","3.3.2, 3.3.3, 3.3.4"
5503,Alpine Linux,Bug,"",New,Normal,Alpine-ISO fails to create valid installers when using OVL files,Joe Needleman,Natanael Copa,04/28/2016 05:47 AM,Toolchain,"",04/27/2016,"","","",0,04/27/2016 04:30 PM,"","",
5502,Alpine Linux,Bug,"",New,Normal,Updating to or installing latest Alpine 3.3.3 dissalows root loging over tty1 (in LXC),Thomas Lamprecht,"",04/27/2016 03:21 PM,"","",04/27/2016,"","","",0,04/27/2016 03:21 PM,"","",3.3.3
5501,Alpine Linux,Bug,"",New,Normal,Update php7-amqp to build against 1.7.0 stable instead of alpha2,Gennady Feldman,"",04/26/2016 03:15 PM,"","",04/26/2016,"","","",0,04/26/2016 03:15 PM,"","",
5500,Alpine Linux,Bug,"",New,Normal,Apache - suEXEC is broken,Steffen Lange,Natanael Copa,04/26/2016 02:18 PM,Aports,3.3.4,04/26/2016,"",1.00,1.00,0,04/26/2016 02:18 PM,"","",3.3.3
5493,Alpine Linux,Bug,5488,Closed,Normal,"[3.0] xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,3.0.7,04/25/2016,"","","",100,04/25/2016 09:24 AM,05/10/2016 10:16 AM,"",
5492,Alpine Linux,Bug,5488,Closed,Normal,"[3.1] xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,3.1.5,04/25/2016,"","","",100,04/25/2016 09:23 AM,05/10/2016 10:16 AM,"",
5491,Alpine Linux,Bug,5488,Closed,Normal,"[3.2] xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,3.2.4,04/25/2016,"","","",100,04/25/2016 09:23 AM,05/10/2016 10:16 AM,"",
5490,Alpine Linux,Bug,5488,Closed,Normal,"[3.3] xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,3.3.4,04/25/2016,"","","",100,04/25/2016 09:22 AM,05/10/2016 10:16 AM,"",
5489,Alpine Linux,Bug,5488,Closed,Normal,"[3.4] xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,3.4.0,04/25/2016,"","","",100,04/25/2016 09:22 AM,05/10/2016 10:16 AM,"",
5488,Alpine Linux,Bug,"",Closed,Normal,"xen: Security issues (CVE-2016-3157, CVE-2016-3158,  CVE-2016-3159, CVE-2016-3960, CVE-2016-3961)",Alicha CH,William Pitcock,05/10/2016 10:16 AM,Security,"",04/25/2016,"","",0.00,100,04/25/2016 09:21 AM,05/10/2016 10:16 AM,"",
5487,Alpine Linux,Bug,"",New,Normal,open-vm-tools segfaults on alpine 3.3.3,Danil Eremeev,"",04/25/2016 05:14 AM,"","",04/25/2016,"","","",0,04/25/2016 05:14 AM,"","",3.3.3
